,city,state
2146,Center Barnstead ,NH
2153,Center Point ,TX
2154,Center Sandwich ,NH
2155,Center Tuftonboro ,NH
2156,Center Valley ,PA
2157,Centerbrook ,CT
2166,Centerville ,MA
2167,Centerville ,PA
2181,Central Valley ,NY
2192,Ceresco ,MI
2201,Chaffee ,NY
2204,Chalk Hill ,PA
2208,Champion ,PA
2210,Chana ,IL
2211,Chancellor ,AL
2232,Chappells ,SC
2233,Chaptico ,MD
2246,Charlestown ,MA
2257,Charlottesville ,IN
2259,Charlton City ,MA
2268,Chatsworth ,CA
2270,Chatsworth ,IL
2271,Chatsworth ,NJ
2275,Chattaroy ,WA
2285,Cheltenham ,MD
2289,Chenango Forks ,NY
2298,Cherry Point ,NC
2301,Cherry Valley ,MA
2322,Chester ,NY
2328,Chester Springs ,PA
2333,Chesterfield ,VA
2338,Chestnut Hill ,MA
2339,Chestnutridge ,MO
2345,Cheyney ,PA
2350,Chichester ,NY
2366,China Village ,ME
2370,Chinquapin ,NC
2372,Chippewa Lake ,MI
2389,Chuckey ,TN
2396,Church Road ,VA
2397,Churchton ,MD
2402,Cicero ,IL
2408,Circleville ,NY
2411,Citra ,FL
2414,Clackamas ,OR
2419,Clare ,IL
2425,Claremont ,SD
2436,Claridge ,PA
2438,Clarington ,PA
2448,Clarklake ,MI
2452,Clarks Mills ,PA
2453,Clarksboro ,NJ
2461,Clarkston ,MI
2465,Clarksville ,MD
2470,Claryville ,NY
2477,Clay Center ,OH
2492,Clear Brook ,VA
2493,Clear Creek ,IN
2499,Clearfield ,KY
2500,Clearfield ,PA
2502,Clearview City ,KS
2503,Clearville ,PA
2508,Clearwater Beach ,FL
2511,Clements ,MD
2523,Cleveland ,SC
2525,Cleveland ,WI
2530,Cleverdale ,NY
2535,Cliffwood ,NJ
2548,Climax ,NC
2563,Clinton ,NY
2568,Clinton ,WI
2569,Clinton Corners ,NY
2570,Clinton Township ,MI
2578,Cloutierville ,LA
2593,Coal Township ,PA
2600,Cobalt ,CT
2601,Cobb ,GA
2603,Cobbs Creek ,VA
2612,Cocolamus ,PA
2613,Coden ,AL
2617,Coeur D Alene ,ID
2619,Coeymans Hollow ,NY
2623,Cogan Station ,PA
2633,Colbert ,WA
2650,Colerain ,OH
2656,Colfax ,NC
2658,Colgate ,WI
2661,College Grove ,TN
2664,College Point ,NY
2669,Colliers ,WV
2670,Colliersville ,NY
2681,Collison ,IL
2683,Colmar ,PA
2686,Cologne ,NJ
2695,Colora ,MD
2700,Colton ,OR
2702,Coltons Point ,MD
2719,Columbia Station ,OH
2725,Columbus ,MI
2729,Columbus ,NJ
2733,Columbus ,AR
2743,Comfort ,NC
2753,Commerce Township ,MI
2758,Compton ,MD
2767,Concordville ,PA
2770,Conestee ,SC
2779,Conklin ,MI
2791,Conover ,OH
2792,Conowingo ,MD
2802,Convent Station ,NJ
2806,Convoy ,IN
2816,Cooksburg ,PA
2817,Cookstown ,NJ
2819,Cooksville ,MD
2820,Cool Ridge ,WV
2829,Coosawhatchie ,SC
2837,Coral ,MI
2842,Corbett ,OR
2848,Cordova ,TN
2849,Corea ,ME
2865,Cornwall on Hudson ,NY
2867,Corona ,NY
2869,Corona del Mar ,CA
2876,Corryton ,TN
2880,Cortland ,IL
2881,Cortland ,IN
2885,Cortlandt Manor ,NY
2898,Cottage Hills ,IL
2899,Cottageville ,WV
2906,Cotuit ,MA
2909,Coulters ,PA
2910,Counce ,TN
2920,Covesville ,VA
2926,Covington ,PA
2929,Cowansville ,PA
2933,Cowlesville ,NY
2936,Coxs Creek ,KY
2938,Coyote ,CA
2945,Craigville ,IN
2946,Craley ,PA
2948,Cranberry ,PA
2950,Cranberry Twp ,PA
2955,Crane Hill ,AL
2963,Cream Ridge ,NJ
2964,Creamery ,PA
2967,Creighton ,PA
2986,Criders ,VA
2998,Cropseyville ,NY
2999,Cropwell ,AL
3001,Crosby ,PA
3004,Cross Junction ,VA
3007,Cross River ,NY
3011,Croton ,OH
3012,Croton Falls ,NY
3013,Croton on Hudson ,NY
3023,Crozier ,VA
3024,Crum Lynne ,PA
3026,Crystal ,MI
3027,Crystal Beach ,FL
3032,Crystal Spring ,PA
3038,Cuddebackville ,NY
3039,Cuddy ,PA
3052,Cumberland Center ,ME
3053,Cumberland Foreside ,ME
3054,Cummaquid ,MA
3060,Curllsville ,PA
3061,Curran ,MI
3062,Currie ,NC
3063,Currituck ,NC
3064,Curryville ,PA
3066,Curtis Bay ,MD
3073,Cusseta ,GA
3079,Custer ,WI
3080,Custer City ,PA
3083,Cutler ,IN
3085,Cyclone ,PA
3091,Cypress ,FL
3098,Dahinda ,IL
3101,Daisy ,MO
3131,Dameron ,MD
3133,Danboro ,PA
3137,Dania ,FL
3140,Danielsville ,PA
3145,Danville ,AL
3151,Danville ,ME
3165,Darien Center ,NY
3170,Darragh ,PA
3173,Daufuskie Island ,SC
3181,Davidsonville ,MD
3189,Davisburg ,MI
3191,Davisville ,WV
3200,Dayton ,MD
3212,Dayville ,CT
3214,De Forest ,WI
3218,De Lancey ,PA
3221,De Mossville ,KY
3233,Deansboro ,NY
3242,Decatur ,IA
3251,Decker ,MI
