,city,state,county,Overall,Grocery,Health,Housing,Median Home Cost,Utilities,Transportation,Miscellaneous
1711,Burfordville ,MO,no data,no data,no data,no data,no data,no data,no data,no data,no data
1714,Burghill ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1743,Burnside ,IA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1747,Burnt Cabins ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1748,Burnt Hills ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1750,Burrows ,IN,no data,no data,no data,no data,no data,no data,no data,no data,no data
1753,Burt ,NY,no data,no data,no data,no data,no data,no data,no data,no data,no data
1758,Bushland ,TX,no data,no data,no data,no data,no data,no data,no data,no data,no data
1761,Bushwood ,MD,no data,no data,no data,no data,no data,no data,no data,no data,no data
1773,Butte ,MT,no data,no data,no data,no data,no data,no data,no data,no data,no data
1778,Buxton ,OR,no data,no data,no data,no data,no data,no data,no data,no data,no data
1782,Byfield ,MA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1784,Bynum ,NC,no data,no data,no data,no data,no data,no data,no data,no data,no data
1795,Cable ,OH,no data,no data,no data,no data,no data,no data,no data,no data,no data
1797,Cabot ,PA,no data,no data,no data,no data,no data,no data,no data,no data,no data
1799,Cache Junction ,UT,no data,no data,no data,no data,no data,no data,no data,no data,no data
1837,Callaway ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
1848,Camano Island ,WA,,no data,no data,no data,no data,no data,no data,no data,no data
1853,Cambria Heights ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
1865,Camby ,IN,,no data,no data,no data,no data,no data,no data,no data,no data
1873,Camden Wyoming ,DE,,no data,no data,no data,no data,no data,no data,no data,no data
1875,Cameron ,MT,,no data,no data,no data,no data,no data,no data,no data,no data
1881,Camp Grove ,IL,,no data,no data,no data,no data,no data,no data,no data,no data
1885,Camp Lejeune ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
1886,Camp Pendleton ,CA,,no data,no data,no data,no data,no data,no data,no data,no data
1891,Campbell Hall ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
1899,Canadys ,SC,,no data,no data,no data,no data,no data,no data,no data,no data
1907,Candler ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
1909,Canehill ,AR,,no data,no data,no data,no data,no data,no data,no data,no data
1915,Canoga Park ,CA,,no data,no data,no data,no data,no data,no data,no data,no data
1925,Canton ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
1929,Canton ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
1932,Canton Center ,CT,,no data,no data,no data,no data,no data,no data,no data,no data
1933,Cantonment ,FL,,no data,no data,no data,no data,no data,no data,no data,no data
1937,Canyon Country ,CA,,no data,no data,no data,no data,no data,no data,no data,no data
1943,Cape Fair ,MO,,no data,no data,no data,no data,no data,no data,no data,no data
1946,Cape May Court House ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
1949,Cape Porpoise ,ME,,no data,no data,no data,no data,no data,no data,no data,no data
1951,Capistrano Beach ,CA,,no data,no data,no data,no data,no data,no data,no data,no data
1960,Cardiff by the Sea ,CA,,no data,no data,no data,no data,no data,no data,no data,no data
1961,Cardinal ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
1996,Carpenter ,SD,,no data,no data,no data,no data,no data,no data,no data,no data
2019,Cartersville ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
2027,Carversville ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
2030,Cary/Elgin ,IL,,no data,no data,no data,no data,no data,no data,no data,no data
2033,Casanova ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
2034,Cascade ,CO,,no data,no data,no data,no data,no data,no data,no data,no data
2036,Cascade ,MD,,no data,no data,no data,no data,no data,no data,no data,no data
2039,Cascade ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
2041,Casco ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
